filename,text,voice_type
chapter4_9_cyrenely_101.wav,嗯……,小昔涟
chapter4_9_cyrenely_102.wav,嗯…？,小昔涟
chapter4_9_cyrenely_103.wav,哈哈，我就想看你的反应。来，告诉你吧——,小昔涟
chapter4_9_cyrenely_104.wav,——是这张牌？它的名字叫「救世主」。,小昔涟
chapter4_9_cyrenely_105.wav,唔…那一大长串解读，我就不给你念了吧？,小昔涟
chapter4_9_cyrenely_106.wav,简单来说，这张牌的意思就是…你会成为被所有人崇拜的英雄，用你手里的剑保护世界，从可怕的敌人手中救下很多、很多的人！如何，很棒吧？,小昔涟
chapter4_9_cyrenely_107.wav,…怎么啦？这可是张好牌呀。,小昔涟
chapter4_9_cyrenely_108.wav,哈哈……,小昔涟
chapter4_9_cyrenely_109.wav,那，小英雄…如果有一天，我们必须和哀丽秘榭说再见了，你会愿意成为「救世主」吗？,小昔涟
chapter4_9_cyrenely_110.wav,嗯，如果发生了那种事…也就代表世界必须有人去拯救了。,小昔涟
chapter4_9_cyrenely_111.wav,……,小昔涟
chapter4_9_cyrenely_112.wav,哈哈，我在逗你玩呢~放心吧，哀丽秘榭可是很和平的，坏人绝对找不到我们。,小昔涟
chapter4_9_cyrenely_113.wav,你要回家了吗…要是不着急，我们再去和小妖精们玩玩，好不好？,小昔涟
chapter4_9_cyrenely_114.wav,嘻嘻…真有干劲呀。那我们走吧……,小昔涟
chapter4_9_cyrenely_115.wav,希望这个世界，永远不需要「救世主」呀。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_101.wav,呼…呼…嘻，逗你的，我可没睡哦。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_102.wav,这边这边，你看！水面上的倒影，是不是特别可爱？,小昔涟
vo_ambient_w4_v340_greeting_cyrene_103.wav,嗨，见到你真高兴！是来找人家玩的吗？,小昔涟
vo_ambient_w4_v340_greeting_cyrene_105.wav,喜欢这样悠闲的时光吗？我很喜欢哦，美好的一天，从见到你开始。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_106.wav,别心急，我们还有好多好多时间。慢慢来，时光会为我们停下脚步。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_107.wav,这朵花送给你！它就像少女的心房，要用心呵护哦。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_108.wav,小奇美拉，怎么小小一只呢？快快长大，让我看看你会变得多可爱吧。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_109.wav,嗯…哪里去了呢？偷偷躲在哪个小角落里，等着我去找呢？,小昔涟
vo_ambient_w4_v340_greeting_cyrene_110.wav,软乎乎的小海豹，在水池里一摇一摆，嘟嘟的，嘟嘟的…真是可爱到不行~,小昔涟
vo_ambient_w4_v340_greeting_cyrene_111.wav,好可爱的奇美拉！得给它起个甜甜的名字才行，你有什么主意吗？,小昔涟
vo_ambient_w4_v340_greeting_cyrene_112.wav,把种子埋进土里，等待它发芽，开出软软的花，就像是在守候一个小小的奇迹。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_113.wav,水面有动静了！快快，把鱼竿提起来，拜托啦！,小昔涟
vo_ambient_w4_v340_greeting_cyrene_114.wav,嗯？这么没防备地睡着了…可是会被坏人盯上的，要小心哦。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_115.wav,呀，我可以抓紧你吗…大地兽不会突然跑起来，把人家甩出去吧？,小昔涟
vo_ambient_w4_v340_greeting_cyrene_117.wav,瞧！这个稻草人的模样，是不是和你特别像？我可是观察了好久才做出来的。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_118.wav,哦，你喜欢这里的风景呀？让我也好好看看，记下你喜欢的地方~,小昔涟
vo_ambient_w4_v340_greeting_cyrene_119.wav,风车转呀转，转得好慢好慢，仿佛连时间也停下来了呢。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_120.wav,呼~感觉有点困了…是时候闭上眼睛，去梦里相见啦……,小昔涟
vo_ambient_w4_v340_greeting_cyrene_121.wav,好舒服的风呀，真希望生活每天都能像海面一样平静。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_122.wav,这片麦田可是我们的宝贝，不能随便踩进去哦。会把希望踩坏的。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_123.wav,真有意思呢，你这么一说，人家都想去实地看看啦。只是，要你来当向导！,小昔涟
vo_ambient_w4_v340_greeting_cyrene_126.wav,风铃叮叮当当，就像是怦怦的心跳，好浪漫呀。,小昔涟
vo_ambient_w4_v340_greeting_cyrene_127.wav,想听故事吗？我有好多好多，可以一个个讲给你听。条件只有一个——要仔细听，好吗？,小昔涟
vo_ambient_w4_v340_greeting_cyrene_128.wav,故乡是很让人怀念，可更重要的，是迈出向前的脚步，对吧？,小昔涟
vo_ambient_w4_v340_greeting_cyrene_129.wav,（均匀的呼吸声）,小昔涟
vo_ambient_w4_v380_broadcast_cyrene_101.wav,小小一只的奇美拉，快快在爱里长大吧♪,小昔涟
chapter3_17_memberA_101.wav,放过我吧……,小昔涟
chapter3_17_memberA_102.wav,鬼、鬼啊！别…别过来……,小昔涟
chapter3_17_memberA_103.wav,放过我吧，放过我吧…我一生积德行善，怎么死了还不得安息……,小昔涟
chapter3_17_memberA_104.wav,你、你还和看不见的东西聊得有来有回，我不是死了是什么？呜，呜呜…我就不该作死挑战禁忌，尝试在梦里入睡…好奇心害死皮皮西啊！,小昔涟
chapter3_17_memberA_105.wav,别、别再问了！会把怪物引来的，死去的人全部都在这里，全部…！,小昔涟
chapter3_17_memberA_106.wav,别说出那名字！都怪你，它、它们来了！,小昔涟
chapter4_13_mem_101.wav,小蝶真是心灵手巧，人家也想学……,小昔涟
chapter4_13_mem_102.wav,都这么多天啦，我和蝶已经是好朋友了！,小昔涟
chapter4_13_mem_103.wav,那你先来，我给你加油！,小昔涟
chapter4_13_mem_104.wav,说明人家正在成长哦！有没有可能，等我拥有了戳羊毛毡的记忆，就会长出和小蝶一样漂亮的手……,小昔涟
chapter4_13_mem_105.wav,太失礼啦！怎么能对女孩子说这种话呢？,小昔涟
chapter4_13_mem_106.wav,开个玩笑！不过，人家相信，这次来神悟树庭，一定也会收获满满。,小昔涟
chapter4_13_mem_107.wav,真期待呀…不知道人家又会产生怎样的变化？,小昔涟
chapter4_13_mem_108.wav,对，不仅外表可爱，还要走实力派路线！,小昔涟
chapter4_13_mem_109.wav,这么喜欢可爱的小动物吗？莫非…你是很在意外貌的类型？,小昔涟
chapter4_13_mem_110.wav,哎呀，你喊那么大声干嘛啦！,小昔涟
chapter4_13_mem_111.wav,小…狗…？怎么连物种都变了！不应该是小小咪吗？,小昔涟
chapter4_13_mem_113.wav,这只是个比喻啦，比喻。,小昔涟
chapter4_13_mem_114.wav,大家想呀，这世界上到处都留下了许多回忆，里面肯定也有小缇安妈妈的身影。,小昔涟
chapter4_13_mem_116.wav,…只要小缇安别再叫粉色小狗，人家就答应你哦！,小昔涟
chapter4_13_mem_117.wav,嗯！这还差不多…不过，虽然刚才随口说了个名字，但人家到底是什么物种？,小昔涟
chapter4_13_mem_118.wav,算了，不管是什么，人家说话算话！既然小缇安打起精神了，那我们出发吧？,小昔涟
chapter4_13_mem_119.wav,「经纬小径」…这名字有什么含义吗？,小昔涟
chapter4_13_mem_121.wav,不过，这棵巨大的树究竟是……,小昔涟
chapter4_13_mem_122.wav,不过，学院是这么安静的地方吗？,小昔涟
chapter4_13_mem_123.wav,无论如何…我们先在附近转转，探探情况吧。,小昔涟
chapter4_13_mem_124.wav,即便不是求学者，都已经走到这里了，还是没见人出来接引我们呀……,小昔涟
chapter4_13_mem_125.wav,真是的…别这么快放弃，至少也像只小兔子一样挣扎一下吧。,小昔涟
chapter4_13_mem_126.wav,咦，大家快看，那边——有什么东西冒出来了？,小昔涟
chapter4_13_mem_127.wav,仙女木…这些小家伙，名字还真可爱。,小昔涟
chapter4_13_mem_128.wav,死去仙女木……,小昔涟
chapter4_13_mem_129.wav,人家试试看。迷…迷迷……,小昔涟
chapter4_13_mem_130.wav,马上……,小昔涟
chapter4_13_mem_131.wav,哎呀，你不要和人家一起用力，分心啦…！,小昔涟
chapter4_13_mem_132.wav,……,小昔涟
chapter4_13_mem_133.wav,「黑色」…「斗篷」…还有「利剑」……,小昔涟
chapter4_13_mem_134.wav,「向大树」……,小昔涟
chapter4_13_mem_135.wav,…唔，没有了。它们的记忆很稀薄，连画面都没有，只能听到这几个模糊的词。,小昔涟
chapter4_13_mem_136.wav,这是什么…野兽吗？还是「死亡」泰坦的眷属？,小昔涟
chapter4_13_mem_137.wav,啊，等等……,小昔涟
chapter4_13_mem_138.wav,那里…黑色的…好像动起来了？,小昔涟
chapter4_13_mem_139.wav,可是，这些黑乎乎的家伙…不该出现在这里吧？,小昔涟
chapter4_13_mem_140.wav,而且，阿格莱雅说那位那刻夏还活着，那其他人应该也有希望……,小昔涟
chapter4_13_mem_141.wav,…不过这人到底是谁？总觉得大家对他有一种莫名的信任？,小昔涟
chapter4_13_mem_142.wav,嗯？好伙伴，你也遇到过什么麻烦吗？,小昔涟
