filename,text
chapter4_395_cyrene_101.wav,谢谢您！我们会注意的。
chapter4_605_cyrene_101_f.wav,「{NICKNAME}，发生了什么？你的意识…突然变得好遥远？」
chapter4_605_cyrene_101_m.wav,「{NICKNAME}，发生了什么？你的意识…突然变得好遥远？」
chapter4_605_cyrene_102.wav,漫长的时光里，我只能眼睁睁看着人们走进记忆之门。那些人看不见我，也听不见我的呼唤。天外之音总会给出安全的承诺，但我从没见过有人平安归来……
chapter4_66_cyrene_101.wav,是啊。所以，我只能寄希望于童年的那场梦……
chapter4_66_cyrene_102.wav,在那梦里出现的，欧洛尼斯背后的神明。
chapter4_66_cyrene_103.wav,现在，我能够确信：「岁月」就是{RUBY_B#「记忆」浮黎}那位星神{RUBY_E#}记录翁法罗斯的书页。如果它从世上消失，它铭记的一切在星空中佚失，那位「星神」一定会将视线投向这里……
chapter4_66_cyrene_104.wav,那会是一道跨越时空的瞥视，它将让今后的每一个我都能够化作你重置岁月的力量——将我的灵魂注入这柄仪式剑，创造一场{RUBY_B#永不完成的「再创世」}永不终结的逐火之旅{RUBY_E#}。
chapter4_67_cyrene_101.wav,欢迎来到哀丽秘榭，{RUBY_B#岁月之泰坦}永夜之帷{RUBY_E#}包围的小村庄。现在，这道回忆也属于你……
chapter4_67_cyrene_102.wav,以彼之道，还治彼身。我以故乡为灵感打造的「迷宫」，长夜月小姐，希望你喜欢。
chapter4_67_cyrene_103.wav,无论史书、日记，还是留影石机，都是「记忆」绝佳的触媒。
chapter4_67_cyrene_104.wav,可这样看来，巧合的成分…是不是还挺大的？
chapter4_67_cyrene_105_f.wav,你确实很了解{F#她}{M#他}呀。
chapter4_67_cyrene_105_m.wav,你确实很了解{F#她}{M#他}呀。
chapter4_67_cyrene_107.wav,「长夜月」小姐，以我现学现卖的本事，想困住你当然不现实。
chapter4_67_cyrene_108.wav,但如果「三月七」也在场，局面就不一样了……
chapter4_67_cyrene_109.wav,因为你无论如何都无法忽视她，对吧？
chapter4_67_cyrene_112.wav,我在呢。终于轮到人家了呀？
chapter4_67_cyrene_113.wav,长夜月小姐，你的目光一直紧盯着自己的目标，恐怕都没有意识到……
chapter4_67_cyrene_114.wav,这一世，翁法罗斯出现了一个巨大的变数。
chapter4_67_cyrene_115.wav,凯撒以自己的性命为代价，为最后的「再创世」添加了一道规则：如此，刻律德菈才能确保翁法罗斯不会成为银河对垒的牺牲品——
chapter4_67_cyrene_116.wav,就算只能以铁墓的形式，这个世界也能如她所想那样，自立于星间。
chapter4_67_cyrene_117.wav,很简单：「如果『再创世』过程中发生任何异常，立即剔除所有外来因素——无论『记忆』，还是『开拓』——十二枚火种将以最纯粹的『毁灭』完成最后的『再创世』。」
chapter4_67_cyrene_118.wav,你骗过了所有人，她更不可能知道你的计划。修改这条律令只是出于保险：防止星穹列车和天才们在她陨落后背叛翁法罗斯。
chapter4_67_cyrene_119.wav,但现在，如果你执意要这么做，银河无疑会落入最糟糕的结局……
chapter4_67_cyrene_120_f.wav,{NICKNAME}、丹恒，还有三月七，都将与权杖合为一体，坠入「毁灭」。
chapter4_67_cyrene_120_m.wav,{NICKNAME}、丹恒，还有三月七，都将与权杖合为一体，坠入「毁灭」。
chapter4_68_cyrene_101.wav,「众人将与一人离别，惟其人将觐见奇迹，此乃命运使然。」
chapter4_68_cyrene_102.wav,然而这一次，也是最后一次逐火之旅……
chapter4_68_cyrene_103.wav,无限轮回的史诗，要迎来尾声了呀。
chapter4_68_cyrene_104.wav,……
chapter4_68_cyrene_105.wav,我知道，你在看着，对吗？
chapter4_68_cyrene_106.wav,最初的「PhiLia」。
chapter4_68_cyrene_107.wav,好奇怪呀，到最后，我也没能找回这三千万世的记忆。
chapter4_68_cyrene_108.wav,但那不重要了，对不对？我会做出和你一样的选择，因为人家的魅力就是始终如一。
chapter4_68_cyrene_109.wav,逐火是不断失却的旅途，可就算一切随风逝去，也有一种感情会被留下来……
chapter4_68_cyrene_110.wav,「爱」会永远存在，对吗？
chapter4_68_cyrene_111.wav,众神啊，看哪！翁法罗斯已完成了她的胜利，再创世即将到来——
chapter4_68_cyrene_112_f.wav,那辉煌的灵魂已临到此地，行走过熙熙攘攘的黑夜；{F#她}{M#他}携来黄金的火与血，胜利地步入白昼——
chapter4_68_cyrene_112_m.wav,那辉煌的灵魂已临到此地，行走过熙熙攘攘的黑夜；{F#她}{M#他}携来黄金的火与血，胜利地步入白昼——
chapter4_68_cyrene_115.wav,这群小家伙，看上去可怕…其实也不难搞定嘛。
chapter4_68_cyrene_116_f.wav,可是，翻涌的忆潮把{NICKNAME}卷走了，必须要赶在「长夜月」小姐得手前，回到{F#她}{M#他}身边……
chapter4_68_cyrene_116_m.wav,可是，翻涌的忆潮把{NICKNAME}卷走了，必须要赶在「长夜月」小姐得手前，回到{F#她}{M#他}身边……
chapter4_68_cyrene_117_f.wav,又是这种潜入剧本，也行吧！帮帮我，{NICKNAME}的内心世界……
chapter4_68_cyrene_117_m.wav,又是这种潜入剧本，也行吧！帮帮我，{NICKNAME}的内心世界……
chapter4_68_cyrene_118.wav,{RUBY_B#「毁灭」}炙热又危险{RUBY_E#}的气息，这是…和白厄同源的力量。
chapter4_68_cyrene_119.wav,还有，像是在午夜惊醒的，{RUBY_B#「忘却」}神秘又深不见底{RUBY_E#}的气息…想必是「长夜月」小姐吧，必须得绕开才行。
chapter4_68_cyrene_120.wav,嗯？那里有一束光……
chapter4_68_cyrene_121.wav,充满朝气，又不受控制，比其他的更熟悉，似乎就来自人家身边……
chapter4_68_cyrene_122_f.wav,是…{NICKNAME}吗！也许，是{F#她}{M#他}提起过的「星核」吧。
chapter4_68_cyrene_122_m.wav,是…{NICKNAME}吗！也许，是{F#她}{M#他}提起过的「星核」吧。
chapter4_68_cyrene_123.wav,有关「星核」的记忆，就在忆潮深处流淌……
chapter4_68_cyrene_124_f.wav,去那里寻找{NICKNAME}的下落吧。
